mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.1765223979949951,0.005159113745432949,0.9324975490570069,0.022888778204148114,12,2,"{'n_neighbors': 12, 'p': 2}",-374.407513613718,-396.7853473911868,-373.6760911548861,-373.1385670142912,-389.191763229046,-381.4398564806256,9.738762288474838,32,-352.79429429429433,-348.7134401282311,-351.7439531313365,-350.60195913716854,-350.8261084718923,-350.93595103258457,1.354213998173304
0.18150782585144043,0.016188189164372806,0.8559255123138427,0.05362270666997132,13,1,"{'n_neighbors': 13, 'p': 1}",-345.3568888532392,-367.25818382752686,-345.9884214279348,-342.52482395935465,-356.9737766289331,-351.6204189393978,9.239904570923173,5,-327.0809897208611,-322.4610861170346,-326.1373193459689,-326.93714598940255,-323.1281078286756,-325.1489298003886,1.9603934133874417
0.19589080810546874,0.02287910049462981,0.9937362670898438,0.06299337894159482,13,2,"{'n_neighbors': 13, 'p': 2}",-373.736745006818,-397.55035961605313,-374.2228006061146,-371.6806488991889,-388.0928603262323,-381.05668289088135,10.096956134778262,29,-354.8363849875103,-350.65595746624683,-353.02063567045315,-353.9518255917074,-353.1297166132633,-353.1189040658362,1.3942294305971334
0.18450713157653809,0.015811420309537277,0.8800543308258056,0.04846147151489986,14,1,"{'n_neighbors': 14, 'p': 1}",-345.98819868580034,-366.6807686578281,-347.19944545605034,-344.2193179937097,-356.9490564476081,-352.20735744819933,8.479731528810545,8,-328.66097861757027,-324.29729315902955,-327.87206294950636,-329.2188066408998,-325.1305068403585,-327.0359296414729,1.961408723959456
0.19807682037353516,0.03879716803131101,1.0581642627716064,0.08104610587059087,14,2,"{'n_neighbors': 14, 'p': 2}",-374.5941208600229,-398.78847013257854,-375.7433206422778,-370.03592948187384,-387.07741268001985,-381.2478507593546,10.4109199622193,30,-357.17947460551966,-352.2883917449834,-355.1046992807899,-355.7156244051412,-354.67359737475897,-354.9923574822386,1.5957603671470468
0.2022526741027832,0.032584883924176515,0.9680240631103516,0.18266384167612792,15,1,"{'n_neighbors': 15, 'p': 1}",-346.7450507859267,-366.5603753910323,-347.1961684047895,-344.64109694862884,-356.06959443800696,-352.24245719367684,8.162315190200886,9,-330.4719523381903,-326.5698695480046,-329.25526524148853,-331.3626981828013,-327.1473302048935,-328.9614231030756,1.851735684754309
0.2252114772796631,0.05452587839911138,1.0465886116027832,0.08590432434541793,15,2,"{'n_neighbors': 15, 'p': 2}",-374.70526397095745,-400.94848800834205,-375.7793588258014,-371.05904982618773,-387.67112398609504,-382.0326569234768,10.98012252893454,34,-359.1837953709336,-353.92067244092965,-357.2261630264759,-358.675787420582,-356.67812602591584,-357.1369088569674,1.8504332633898968
0.20764389038085937,0.03332599511918148,0.9731840133666992,0.15813143131016036,16,1,"{'n_neighbors': 16, 'p': 1}",-346.53491049704553,-367.98302630054457,-348.1635066628042,-345.2220451911935,-357.7805909617613,-353.1368159226698,8.636401625362167,10,-332.77530705947106,-329.0637999333739,-330.76072866577834,-332.7630804269741,-329.0779321881699,-330.8881696547534,1.6551799756796084
0.19049572944641113,0.006039026188095332,1.0442028045654297,0.026574228258514573,16,2,"{'n_neighbors': 16, 'p': 2}",-374.9589922952149,-401.0400590893292,-376.6153461761298,-371.0993988991889,-388.76963354577055,-382.4966860011267,10.995559960378197,36,-360.66488876336143,-356.01437168679934,-359.3359379526099,-360.9037027113145,-358.4120633219396,-359.0661928872049,1.7746284899013978
0.20984487533569335,0.04794530899469398,1.0228597164154052,0.12424909256914485,17,1,"{'n_neighbors': 17, 'p': 1}",-346.29248877166435,-368.8488212803369,-348.85141435484974,-345.904525935519,-359.40288323904304,-353.8600267162827,8.955791890373474,11,-334.2879764576379,-331.25712226317484,-332.4603287928925,-334.6332142844972,-330.9484437886156,-332.71741711736365,1.5142494862136504
